
ATV,#genre#
亚视ATV台,https://de035ceb0768225b04e9a007abe39fca.live.prod.hkatv.com/a1_cbr_lo.m3u8
TVB 新闻台,mitv://sdgdklwos.finetv.tv:9906/5a562bec0007bfd761a2998e00b83dd5#mitv://sdgdklwos.finetv.tv:9906/5ad32bdc000b780449ee52022e841cf7
HKC 有线新闻,P2p://3114910866:9906/5cb05bfa0004baf417a82ed0351d3696.ts#P2p://185.169.196.146:9906/5cb05bfa0004baf417a82ed0351d3696.ts
HKC电影一台,P2p://3114910866:9906/5cb05c52000a69c517a988073ced7a47.ts
翡翠台-香港时,msc://CJHK5
翡翠台-加美西,msc://CJCA5W
翡翠台-加美东,msc://CJCA5E
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰资讯,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
凤凰中文,http://117.169.120.217:8080/live/fhchinese/.m3u8
凤凰中文,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
凤凰香港,http://198.16.106.58:8278/hkphoenix_twn/playlist.m3u8?tid=m02000000000017200487&ct=18184&tsum=479b00120dbe8df64c637d131ceb1622
香港开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
无线新闻,http://198.16.106.58:8278/inews_twn/playlist.m3u8?tid=m02000000000015197763&ct=17993&tsum=1c7d632497774063f2f2f6554e23d162
无线新闻,http://185.180.221.194:8278/Inews/playlist.m3u8?tid=56699937&ct=18205&tsum=6a2b767494bda26fa75d52fee20a26c2
香港有线新闻,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
HKS 香港卫視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
RHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8

凤凰卫视中文台,rtmp://58.200.131.2:1935/livetv/fhzw 
凤凰卫视资讯台,rtmp://58.200.131.2:1935/livetv/fhzx 
凤凰卫视电影台,rtmp://58.200.131.2:1935/livetv/fhdy 
星空卫视,rtmp://58.200.131.2:1935/livetv/startv 
Star Sports,rtmp://58.200.131.2:1935/livetv/starsports 
Channel[V],rtmp://58.200.131.2:1935/livetv/channelv 
探索频道,rtmp://58.200.131.2:1935/livetv/discovery 
国家地理频道,rtmp://58.200.131.2:1935/livetv/natlgeo 
CHC高清电影,rtmp://58.200.131.2:1935/livetv/chchd 
CHC家庭影院,rtmp://58.200.131.2:1935/livetv/chctv 
CHC动作电影,rtmp://58.200.131.2:1935/livetv/chcatv
BabyFirst臺灣,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
Da Ai,https://tv1.daai.tv/live/app/playlist.m3u8
Da Ai 2,http://61.58.60.230:9319/live/191.m3u8
Da Ai 2,https://tv2.daai.tv/live/app/playlis
