央视频道,#genre#
CCTV1HD,http://zszb.xyz/gdyx.php?id=CCTV1HD&uid=7000
CCTV2HD,http://zszb.xyz/gdyx.php?id=CCTV2HD&uid=7000
CCTV3HD,http://zszb.xyz/gdyx.php?id=CCTV3HD&uid=7000
CCTV4,http://zszb.xyz/gdyx.php?id=CCTV4&uid=1500
CCTV5HD,http://zszb.xyz/gdyx.php?id=CCTV5HD&uid=7000
CCTV6HD,http://zszb.xyz/gdyx.php?id=CCTV6HD&uid=7000
CCTV7HD,http://zszb.xyz/gdyx.php?id=CCTV7HD&uid=7000
CCTV8HD,http://zszb.xyz/gdyx.php?id=CCTV8HD&uid=7000
CCTV9HD,http://zszb.xyz/gdyx.php?id=CCTV9HD&uid=7000
CCTV10HD,http://zszb.xyz/gdyx.php?id=CCTV10HD&uid=7000
CCTV11,http://zszb.xyz/gdyx.php?id=CCTV11&uid=1500
CCTV12HD,http://zszb.xyz/gdyx.php?id=CCTV12HD&uid=7000
CCTV13,http://zszb.xyz/gdyx.php?id=CCTV13&uid=1500
CCTV14HD,http://zszb.xyz/gdyx.php?id=CCTV14HD&uid=7000
CCTV-15,http://zszb.xyz/gdyx.php?id=CCTV15music&uid=1500
CCTV5+HD,http://zszb.xyz/gdyx.php?id=CCTV5plusHD&uid=7000
CCTV17HD,http://zszb.xyz/gdyx.php?id=CCTV17HD&uid=7500
卫视频道,#genre#
湖南卫视HD,http://zszb.xyz/gdyx.php?id=hunanHD&uid=7000
浙江卫视HD,http://zszb.xyz/gdyx.php?id=zhejiangHD&uid=7000
广东卫视HD,http://zszb.xyz/gdyx.php?id=guangdongHD&uid=7000
深圳卫视HD,http://zszb.xyz/gdyx.php?id=shenzhenHD&uid=7000
东方卫视HD,http://zszb.xyz/gdyx.php?id=dongfangHD&uid=7000
北京卫视HD,http://zszb.xyz/gdyx.php?id=beijingHD&uid=7000
四川卫视HD,http://zszb.xyz/gdyx.php?id=sichuanHD&uid=7000
江苏卫视HD,http://zszb.xyz/gdyx.php?id=jiangsuHD&uid=7000
黑龙江卫视HD,http://zszb.xyz/gdyx.php?id=heilongjiangHD&uid=7000
河北卫视HD,http://zszb.xyz/gdyx.php?id=hebeiHD&uid=7000
辽宁卫视HD,http://zszb.xyz/gdyx.php?id=liaoningHD&uid=7000
天津卫视HD,http://zszb.xyz/gdyx.php?id=tianjinHD&uid=7000
湖北卫视HD,http://zszb.xyz/gdyx.php?id=hubeiHD&uid=7000
安徽卫视HD,http://zszb.xyz/gdyx.php?id=anhuiHD&uid=7000
重庆卫视HD,http://zszb.xyz/gdyx.php?id=chongqingHD&uid=7000
贵州卫视HD,http://zszb.xyz/gdyx.php?id=guizhouHD&uid=7000
黑龙江卫视,http://zszb.xyz/gdyx.php?id=heilongjiang&uid=1500
内蒙古卫视,http://zszb.xyz/gdyx.php?id=neimenggu&uid=1500
云南卫视,http://zszb.xyz/gdyx.php?id=yunnan&uid=1500
新疆卫视,http://zszb.xyz/gdyx.php?id=xinjiang&uid=1500
河南卫视,http://zszb.xyz/gdyx.php?id=henan&uid=1500
东南卫视,http://zszb.xyz/gdyx.php?id=dongnan&uid=1500
山西卫视,http://zszb.xyz/gdyx.php?id=shanxi&uid=1500
陕西卫视,http://zszb.xyz/gdyx.php?id=shanxi2&uid=1500
兵团卫视,http://zszb.xyz/gdyx.php?id=bingtuan&uid=1500
卡通频道,#genre#
优漫卡通,http://zszb.xyz/gdyx.php?id=youmankatong&uid=1500
金鹰卡通,http://zszb.xyz/gdyx.php?id=jinyingkatong&uid=1500
炫动卡通,http://zszb.xyz/gdyx.php?id=xuandongkatong&uid=1500
杂牌频道,#genre#
CETV-1,http://zszb.xyz/gdyx.php?id=CETV-1&uid=1500
广东体育HD,http://zszb.xyz/gdyx.php?id=gdsportsHD&uid=7000
CHC高清电影,http://zszb.xyz/gdyx.php?id=CHCHD&uid=7000
DOX院线,http://zszb.xyz/gdyx.php?id=DOXyuanxianHD&uid=7000
DOX雅趣,http://zszb.xyz/gdyx.php?id=DOXhanliuHD&uid=7000
DOX怡家,http://zszb.xyz/gdyx.php?id=DOXyijiaHD&uid=7000
DOX英伦,http://zszb.xyz/gdyx.php?id=DOXyinglunHD&uid=7000
劲爆体育HD,http://zszb.xyz/gdyx.php?id=jinbaotiyuHD&uid=7000
欢笑剧场HD,http://zszb.xyz/gdyx.php?id=huanxiaojuchangHD&uid=7000
全纪实HD,http://zszb.xyz/gdyx.php?id=quanjishiHD&uid=7000
魅力音乐HD,http://zszb.xyz/gdyx.php?id=meiliyinyueHD&uid=7000
DOX新艺,http://zszb.xyz/gdyx.php?id=DOXxinyiHD&uid=7000
求索生活,http://zszb.xyz/gdyx.php?id=QSSHHD&uid=7000
高清影院,http://zszb.xyz/gdyx.php?id=FilmsHD&uid=7000
高清剧场,http://zszb.xyz/gdyx.php?id=TheaterHD&uid=7000
高清综合,http://zszb.xyz/gdyx.php?id=zongheHD&uid=7000
高清探索,http://zszb.xyz/gdyx.php?id=searchHD&uid=7000
广东经视,http://zszb.xyz/gdyx.php?id=GDjingjikejiaoHD&uid=7000
粤语高清,http://zszb.xyz/gdyx.php?id=yueyuHD&uid=7000
CHC家庭影院,http://zszb.xyz/gdyx.php?id=CHCjiatingyy&uid=3000
CHC动作电影,http://zszb.xyz/gdyx.php?id=CHCdongzuody&uid=3000
高清演示,http://zszb.xyz/gdyx.php?id=HDChanneldemo&uid=7000
现代教育,http://zszb.xyz/gdyx.php?id=xiandaijiaoyu&uid=1500
深圳卫视,http://zszb.xyz/gdyx.php?id=shenzhen&uid=1500
风云剧场,http://zszb.xyz/gdyx.php?id=fengyunjuchang&uid=1500
怀旧剧场,http://zszb.xyz/gdyx.php?id=huaijiujuchang&uid=1500
央视精品,http://zszb.xyz/gdyx.php?id=yangshijingpin&uid=1500
风云足球,http://zszb.xyz/gdyx.php?id=fengyunzuqiu&uid=1500
世界地理,http://zszb.xyz/gdyx.php?id=shijiedili&uid=1500
第一剧场,http://zszb.xyz/gdyx.php?id=diyijuchang&uid=1500
风云音乐,http://zszb.xyz/gdyx.php?id=fengyunyinyue&uid=1500
东方财经,http://zszb.xyz/gdyx.php?id=dongfangcaijing&uid=1500
劲爆体育,http://zszb.xyz/gdyx.php?id=jinbaotiyu&uid=1500
卫生健康,http://zszb.xyz/gdyx.php?id=weishengjiankang&uid=1500
广东珠江,http://zszb.xyz/gdyx.php?id=gdzhujiang&uid=1500
广东公共,http://zszb.xyz/gdyx.php?id=gdpublic&uid=1500
广东新闻,http://zszb.xyz/gdyx.php?id=gdnews&uid=1500
广东体育,http://zszb.xyz/gdyx.php?id=gdsports&uid=1500
南方卫视,http://zszb.xyz/gdyx.php?id=gdnanfang&uid=1500
南方影视,http://zszb.xyz/gdyx.php?id=gdyingshi&uid=1500
南方少儿,http://zszb.xyz/gdyx.php?id=gdshaoer&uid=1500
珠江电影,http://zszb.xyz/gdyx.php?id=zjfilms&uid=1500
中国气象频道,http://zszb.xyz/gdyx.php?id=zgqixiang&uid=1500
CETV-4,http://zszb.xyz/gdyx.php?id=CETV-4&uid=1500
环球奇观,http://zszb.xyz/gdyx.php?id=huanqiuqiguan&uid=1500
老故事,http://zszb.xyz/gdyx.php?id=laogushi&uid=1500
书画,http://zszb.xyz/gdyx.php?id=shuhua&uid=1500
女性时尚,http://zszb.xyz/gdyx.php?id=nvxingshishang&uid=1500
发现之旅,http://zszb.xyz/gdyx.php?id=faxianzhilv&uid=1500
法治天地,http://zszb.xyz/gdyx.php?id=fazhitiandi&uid=1500
欢笑剧场,http://zszb.xyz/gdyx.php?id=huanxiaojuchang&uid=1500
都市剧场,http://zszb.xyz/gdyx.php?id=dushijuchang&uid=1500
极速汽车,http://zszb.xyz/gdyx.php?id=jisuqiche&uid=1500
魅力音乐,http://zszb.xyz/gdyx.php?id=meiliyinyue&uid=1500
金色频道,http://zszb.xyz/gdyx.php?id=jinsepindao&uid=1500
生活时尚,http://zszb.xyz/gdyx.php?id=shenghuoshishang&uid=1500
全纪实,http://zszb.xyz/gdyx.php?id=quanjishi&uid=1500
港澳频道,#genre#
明珠,http://zszb.xyz/gdyx.php?id=xgmingzhu&uid=1500
翡翠,http://zszb.xyz/gdyx.php?id=xgfeicui&uid=1500
凤凰中文台,http://zszb.xyz/gdyx.php?id=fhzw&uid=1500
澳亚卫视,http://zszb.xyz/gdyx.php?id=aoya&uid=1500
地方频道,#genre#
汕头影视文艺,http://zszb.xyz/gdyx.php?id=shantousantaogaoqing&uid=4500
汕头新闻综合,http://zszb.xyz/gdyx.php?id=shantouyitaogaoqing&uid=4500
汕头经济生活,http://zszb.xyz/gdyx.php?id=shantouertaogaoqing&uid=4500
广州台,http://zszb.xyz/gdyx.php?id=guangzhou&uid=1500
广州新闻,http://zszb.xyz/gdyx.php?id=gznews&uid=1500
广州经济,http://zszb.xyz/gdyx.php?id=gzeconomic&uid=1500
广州生活,http://zszb.xyz/gdyx.php?id=gzlife&uid=1500
广州竞赛,http://zszb.xyz/gdyx.php?id=gzcompetition&uid=1500
广州影视,http://zszb.xyz/gdyx.php?id=gzfilms&uid=1500
广州少儿,http://zszb.xyz/gdyx.php?id=gzchild&uid=1500
佛山新闻综合,http://zszb.xyz/gdyx.php?id=foshannews&uid=1500
佛山公共,http://zszb.xyz/gdyx.php?id=foshanyingshi&uid=1500
云浮一套,http://zszb.xyz/gdyx.php?id=yunfuyitao&uid=1500
云浮二套,http://zszb.xyz/gdyx.php?id=yunfuertao&uid=1500
揭阳一套,http://zszb.xyz/gdyx.php?id=jieyangyitao&uid=1500
珠海一套,http://zszb.xyz/gdyx.php?id=zhuhaiyitao&uid=1500
珠海二套,http://zszb.xyz/gdyx.php?id=zhuhaiertao&uid=1500
湛江综合,http://zszb.xyz/gdyx.php?id=zhanjiangzonghe&uid=1500
湛江公共,http://zszb.xyz/gdyx.php?id=zhanjianggonggong&uid=1500
潮州综合,http://zszb.xyz/gdyx.php?id=chaozhouyitao&uid=1500
潮州公共,http://zszb.xyz/gdyx.php?id=chaozhouertao&uid=1500
东莞一套,http://zszb.xyz/gdyx.php?id=dongguanyitao&uid=1500
东莞二套,http://zszb.xyz/gdyx.php?id=dongguanertao&uid=1500
梅州一套,hhttp://zszb.xyz/gdyx.php?id=meizhouyitao&uid=1500
梅州二套,http://zszb.xyz/gdyx.php?id=meizhouertao&uid=1500
江门公共,http://zszb.xyz/gdyx.php?id=jiangmenyitao&uid=1500
江门综合,http://zszb.xyz/gdyx.php?id=jiangmenertao&uid=1500
中山一套,http://zszb.xyz/gdyx.php?id=zhongshanyitao&uid=1500
中山二套,http://zszb.xyz/gdyx.php?id=zhongshanertao&uid=1500
南海台,http://zszb.xyz/gdyx.php?id=nanhaitai&uid=2000
顺德台,http://zszb.xyz/gdyx.php?id=shundetai&uid=2000
河源一套,http://zszb.xyz/gdyx.php?id=heyuanyitao&uid=1500
肇庆一套,http://zszb.xyz/gdyx.php?id=zhaoqingyitao&uid=1500
肇庆二套,http://zszb.xyz/gdyx.php?id=zhaoqingertao&uid=1500
新会综合,http://zszb.xyz/gdyx.php?id=xinhui&uid=1500
韶关综合,http://zszb.xyz/gdyx.php?id=shaoguanzonghe&uid=1500
韶关公共,http://zszb.xyz/gdyx.php?id=shaoguangonggong&uid=1500
惠州一套,http://zszb.xyz/gdyx.php?id=huizhouyitao&uid=1500
惠州二套,http://zszb.xyz/gdyx.php?id=huizhouertao&uid=1500
