港澳台(备用),#genre#
翡翠台,vjms://113.96.133.24:8500:3502/live/cid=362&delay=200&httpbuf=200&memory=50
明珠台,vjms://113.96.133.24:8500:3502/live/cid=367&delay=200&httpbuf=200&memory=50
J2台,vjms://113.96.133.24:8500:3502/live/cid=368&delay=200&httpbuf=200&memory=50
无线新闻台,vjms://113.96.133.24:8500:3502/live/cid=366&delay=200&httpbuf=200&memory=50
无线翡翠台,vjms://113.96.133.24:8500:3502/live/cid=366&delay=200&httpbuf=200&memory=50
凤凰中文,vjms://113.96.133.24:8500:3502/live/cid=400&delay=200&httpbuf=200&memory=50
凤凰资讯,vjms://113.96.133.24:8500:3502/live/cid=401&delay=200&httpbuf=200&memory=50
澳亚卫视,vjms://113.96.133.24:8500:3502/live/cid=337&delay=200&httpbuf=200&memory=50
日本高尔夫,vjms://113.96.133.24:8500:3502/live/cid=409&delay=200&httpbuf=200&memory=50
博斯高球1,vjms://113.96.133.24:8500:3502/live/cid=265&delay=200&httpbuf=200&memory=50
爱尔达体育1,vjms://113.96.133.24:8500:3502/live/cid=266&delay=200&httpbuf=200&memory=50
FOX3HD,vjms://113.96.133.24:8500:3502/live/cid=95&delay=200&httpbuf=200&memory=50
FOX2HD,vjms://113.96.133.24:8500:3502/live/cid=444&delay=200&httpbuf=200&memory=50
纬来体育,vjms://113.96.133.24:8500:3502/live/cid=202&delay=200&httpbuf=200&memory=50
HBOHD,vjms://113.96.133.24:8500:3502/live/cid=261&delay=200&httpbuf=200&memory=50
HBO原创,vjms://113.96.133.24:8500:3502/live/cid=436&delay=200&httpbuf=200&memory=50
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
HBO强档,vjms://113.96.133.24:8500:3502/live/cid=238&delay=200&httpbuf=200&memory=50
HBO温馨,vjms://113.96.133.24:8500:3502/live/cid=181&delay=200&httpbuf=200&memory=50
民视HD,vjms://113.96.133.24:8500:3502/live/cid=450&delay=200&httpbuf=200&memory=50
CNNHD,vjms://113.96.133.24:8500:3502/live/cid=428&delay=200&httpbuf=200&memory=50
台视HD,vjms://113.96.133.24:8500:3502/live/cid=453&delay=200&httpbuf=200&memory=50
中视HD,vjms://113.96.133.24:8500:3502/live/cid=452&delay=200&httpbuf=200&memory=50
大爱,vjms://113.96.133.24:8500:3502/live/cid=442&delay=200&httpbuf=200&memory=50
华视HD,vjms://113.96.133.24:8500:3502/live/cid=451&delay=200&httpbuf=200&memory=50
公视3,vjms://113.96.133.24:8500:3502/live/cid=236&delay=200&httpbuf=200&memory=50
DW,vjms://113.96.133.24:8500:3502/live/cid=365&delay=200&httpbuf=200&memory=50
东森幼幼,vjms://113.96.133.24:8500:3502/live/cid=344&delay=200&httpbuf=200&memory=50
八大第一HD,vjms://113.96.133.24:8500:3502/live/cid=441&delay=200&httpbuf=200&memory=50
八大综合HD,vjms://113.96.133.24:8500:3502/live/cid=354&delay=200&httpbuf=200&memory=50
三立台湾台HD,vjms://113.96.133.24:8500:3502/live/cid=437&delay=200&httpbuf=200&memory=50
三立都会HD,vjms://113.96.133.24:8500:3502/live/cid=226&delay=200&httpbuf=200&memory=50
东森综合HD,vjms://113.96.133.24:8500:3502/live/cid=333&delay=200&httpbuf=200&memory=50
东森超视HD,vjms://113.96.133.24:8500:3502/live/cid=426&delay=200&httpbuf=200&memory=50
中天综合HD,vjms://113.96.133.24:8500:3502/live/cid=341&delay=200&httpbuf=200&memory=50
年代MUCHHD,vjms://113.96.133.24:8500:3502/live/cid=439&delay=200&httpbuf=200&memory=50
中天娱乐HDvjms://113.96.133.24:8500:3502/live/cid=350&delay=200&httpbuf=200&memory=50
东森戏剧HD,vjms://113.96.133.24:8500:3502/live/cid=425&delay=200&httpbuf=200&memory=50
TVBS欢乐台HD,vjms://113.96.133.24:8500:3502/live/cid=438&delay=200&httpbuf=200&memory=50
纬来戏剧HD,vjms://113.96.133.24:8500:3502/live/cid=137&delay=200&httpbuf=200&memory=50
TLC,vjms://113.96.133.24:8500:3502/live/cid=103&delay=200&httpbuf=200&memory=50
壹新闻HD,vjms://113.96.133.24:8500:3502/live/cid=445&delay=200&httpbuf=200&memory=50
年代新闻HD,vjms://113.96.133.24:8500:3502/live/cid=455&delay=200&httpbuf=200&memory=50
东森新闻HD,vjms://113.96.133.24:8500:3502/live/cid=340&delay=200&httpbuf=200&memory=50
中天新闻HD,vjms://113.96.133.24:8500:3502/live/cid=407&delay=200&httpbuf=200&memory=50
民视新闻台,vjms://113.96.133.24:8500:3502/live/cid=454&delay=200&httpbuf=200&memory=50
三立新闻HD,vjms://113.96.133.24:8500:3502/live/cid=352&delay=200&httpbuf=200&memory=50
TVBS新闻台HD,vjms://113.96.133.24:8500:3502/live/cid=348&delay=200&httpbuf=200&memory=50
TVBSHD,vjms://113.96.133.24:8500:3502/live/cid=349&delay=200&httpbuf=200&memory=50
东森财经新闻,vjms://113.96.133.24:8500:3502/live/cid=456&delay=200&httpbuf=200&memory=50
非凡新闻HD,vjms://113.96.133.24:8500:3502/live/cid=443&delay=200&httpbuf=200&memory=50
东森电影HD,vjms://113.96.133.24:8500:3502/live/cid=338&delay=200&httpbuf=200&memory=50
纬来电影HD,vjms://113.96.133.24:8500:3502/live/cid=113&delay=200&httpbuf=200&memory=50
东森洋片HD,vjms://113.96.133.24:8500:3502/live/cid=343&delay=200&httpbuf=200&memory=50
AXN,vjms://113.96.133.24:8500:3502/live/cid=2&delay=200&httpbuf=200&memory=50
FOXHD,vjms://113.96.133.24:8500:3502/live/cid=94&delay=200&httpbuf=200&memory=50
DISNEP,vjms://113.96.133.24:8500:3502/live/cid=361&delay=200&httpbuf=200&memory=50
422号,vjms://113.96.133.24:8500:3502/live/cid=422&delay=200&httpbuf=200&memory=50
动物星球,vjms://113.96.133.24:8500:3502/live/cid=3&delay=200&httpbuf=200&memory=50
SCI,vjms://113.96.133.24:8500:3502/live/cid=457&delay=200&httpbuf=200&memory=50
WHA,vjms://113.96.133.24:8500:3502/live/cid=440&delay=200&httpbuf=200&memory=50
野生地理,vjms://113.96.133.24:8500:3502/live/cid=263&delay=200&httpbuf=200&memory=50
国家地理,vjms://113.96.133.24:8500:3502/live/cid=115&delay=200&httpbuf=200&memory=50
国兴卫视,vjms://113.96.133.24:8500:3502/live/cid=424&delay=200&httpbuf=200&memory=50
TV5MONDE,vjms://113.96.133.24:8500:3502/live/cid=396&delay=200&httpbuf=200&memory=50
FOXNEWS,vjms://113.96.133.24:8500:3502/live/cid=97&delay=200&httpbuf=200&memory=50
纬来日本HD,vjms://113.96.133.24:8500:3502/live/cid=102&delay=200&httpbuf=200&memory=50
法国时尚,vjms://113.96.133.24:8500:3502/live/cid=399&delay=200&httpbuf=200&memory=50
台湾U视频台,http://1-fss24-s0.streamhoster.com/lv_uchannel/_definst_/broadcast1/chunklist.m3u8
TVBS新聞,vjms://58.215.133.185:8500:3502/live/cid=348
TVBS綜合,vjms://58.215.133.185:8500:3502/live/cid=349
迪斯尼,vjms://58.215.133.185:8500:3502/live/cid=361
公視3,vjms://58.215.133.185:8500:3502/live/cid=236
民視HD,vjms://58.215.133.185:8500:3502/live/cid=450
東森新聞HD,vjms://58.215.133.185:8500:3502/live/cid=340
HBO亞洲電影,vjms://58.215.133.185:8500:3502/live/cid=261
HBO溫馨電影,vjms://58.215.133.185:8500:3502/live/cid=181
HBO原創電影,vjms://58.215.133.185:8500:3502/live/cid=436
HBO強檔電影,vjms://58.215.133.185:8500:3502/live/cid=238
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181
HBO原創,vjms://58.215.133.185:8500:3502/live/cid=236
HBO強檔,vjms://58.215.133.185:8500:3502/live/cid=238
HBO,vjms://58.215.133.185:8500:3502/live/cid=261
八大第一,vjms://58.215.133.185:8500:3502/live/cid=441
緯來戲劇,vjms://58.215.133.185:8500:3502/live/cid=137
民視HD,vjms://58.215.133.185:8500:3502/live/cid=450
年代MUCH,vjms://58.215.133.185:8500:3502/live/cid=439
年代新聞HD,vjms://58.215.133.185:8500:3502/live/cid=455
非凡新聞HD,vjms://58.215.133.185:8500:3502/live/cid=443
AXN,vjms://58.215.133.185:8500:3502/live/cid=2
愛爾達體育HD,vjms://58.215.133.185:8500:3502/live/cid=266
國家地理野生-HD,vjms://58.215.133.185:8500:3502/live/cid=263
國家地理-HD,vjms://58.215.133.185:8500:3502/live/cid=115
探索亞洲-HD,vjms://58.215.133.185:8500:3502/live/cid=440
動物星球,vjms://58.215.133.185:8500:3502/live/cid=3
探索科學,vjms://58.215.133.185:8500:3502/live/cid=457
TLC旅游生活,vjms://58.215.133.185:8500:3502/live/cid=103
博斯高球,vjms://58.215.133.185:8500:3502/live/cid=265
HBOHD,vjms://58.215.133.185:8500:3502/live/cid=261
動物星球,vjms://58.215.133.185:8500:3502/live/cid=3
TLC,vjms://58.215.133.185:8500:3502/live/cid=103
緯來戲劇,vjms://58.215.133.185:8500:3502/live/cid=137
緯來體育,vjms://58.215.133.185:8500:3502/live/cid=202
博斯高球,vjms://58.215.133.185:8500:3502/live/cid=265
三立新聞HD,vjms://58.215.133.185:8500:3502/live/cid=352
三立都會HD,vjms://58.215.133.185:8500:3502/live/cid=226
非凡新聞,vjms://58.215.133.185:8500:3502/live/cid=443
東森新聞,vjms://58.215.133.185:8500:3502/live/cid=340
FOX1,vjms://58.215.133.185:8500:3502/live/cid=97
FOX2,vjms://58.215.133.185:8500:3502/live/cid=444
